date,EX_NUM,m1,m2,n1,n2,k1,k2,max_f,min_f,max_g,min_g,alpha,th1,th2,BOOL_ALPHA_THETA,EMIN
14-Sep-2016 10:01:24, 	 2, 	 13, 	 13, 	 11, 	 11, 	 1, 	 1, 	 164894.141, 	 6.4154e-11, 	 116941.4847, 	 4.228e-09, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:31, 	 2, 	 13, 	 13, 	 11, 	 11, 	 1, 	 1, 	 6340.6845, 	 2.8723e-11, 	 6340.6845, 	 2.8723e-11, 	 0.10702, 	 0.7783, 	 0.94006, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:35, 	 2, 	 13, 	 13, 	 11, 	 11, 	 2, 	 2, 	 119074.9041, 	 2.4507e-10, 	 91930.0722, 	 1.221e-08, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:41, 	 2, 	 13, 	 13, 	 11, 	 11, 	 2, 	 2, 	 6993.9082, 	 1.3756e-10, 	 6993.9082, 	 1.3756e-10, 	 0.12402, 	 0.80408, 	 0.95655, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:43, 	 2, 	 13, 	 13, 	 11, 	 11, 	 3, 	 3, 	 83237.0589, 	 1.0236e-09, 	 70684.3225, 	 3.7553e-08, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:49, 	 2, 	 13, 	 13, 	 11, 	 11, 	 3, 	 3, 	 5402.8129, 	 5.1091e-10, 	 5402.8127, 	 5.1091e-10, 	 0.13762, 	 0.81029, 	 0.94795, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:51, 	 2, 	 13, 	 13, 	 11, 	 11, 	 4, 	 4, 	 55965.4737, 	 4.7425e-09, 	 52956.4325, 	 1.2407e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:56, 	 2, 	 13, 	 13, 	 11, 	 11, 	 4, 	 4, 	 2400.9485, 	 1.2285e-09, 	 2400.9485, 	 1.2285e-09, 	 0.14218, 	 0.78488, 	 0.90131, 	 y,  	 1.000000e-12 
14-Sep-2016 10:01:58, 	 2, 	 13, 	 13, 	 11, 	 11, 	 5, 	 5, 	 35885.0444, 	 2.4824e-08, 	 38471.7396, 	 4.4512e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:02:02, 	 2, 	 13, 	 13, 	 11, 	 11, 	 5, 	 5, 	 2289.6859, 	 7.2844e-09, 	 2289.6859, 	 7.2844e-09, 	 0.16795, 	 0.80922, 	 0.91, 	 y,  	 1.000000e-12 
14-Sep-2016 10:02:03, 	 2, 	 13, 	 13, 	 11, 	 11, 	 6, 	 6, 	 21682.9054, 	 1.5041e-07, 	 26930.3259, 	 1.7575e-06, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
14-Sep-2016 10:02:06, 	 2, 	 13, 	 13, 	 11, 	 11, 	 6, 	 6, 	 2151.8305, 	 5.0267e-08, 	 2151.8305, 	 5.0267e-08, 	 0.20199, 	 0.83719, 	 0.91915, 	 y,  	 1.000000e-12 
14-Sep-2016 10:02:06, 	 2, 	 13, 	 13, 	 11, 	 11, 	 7, 	 7, 	 12131.7897, 	 1.0907e-06, 	 18009.8092, 	 7.7718e-06, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
