date, ex_num, m,n,error, bool_preproc, mean_method, noise
14-Sep-2016 09:30:19, 	 2, 	 13, 	 11, 	 2.027230e-13, 	 n, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
14-Sep-2016 09:31:56, 	 2, 	 13, 	 11, 	 3.480423e-13, 	 n, 	 None, 	 1.000000e-12 
14-Sep-2016 09:42:54, 	 2, 	 13, 	 11, 	 4.002744e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
14-Sep-2016 10:05:38, 	 2, 	 13, 	 11, 	 4.002744e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
14-Sep-2016 10:17:08, 	 1, 	 11, 	 11, 	 -1.211065e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
14-Sep-2016 10:29:18, 	 2, 	 13, 	 11, 	 4.002744e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
14-Sep-2016 10:34:28, 	 2, 	 19, 	 17, 	 3.480423e-13, 	 n, 	 None, 	 1.000000e-12 
14-Sep-2016 10:48:04, 	 2, 	 13, 	 11, 	 3.480423e-13, 	 n, 	 None, 	 1.000000e-12 
14-Sep-2016 10:48:30, 	 2, 	 13, 	 11, 	 3.346550e-11, 	 n, 	 None, 	 1.000000e-10 
14-Sep-2016 10:48:41, 	 2, 	 13, 	 11, 	 3.345038e-09, 	 n, 	 None, 	 1.000000e-08 
14-Sep-2016 10:48:57, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 n, 	 None, 	 1.000000e-06 
14-Sep-2016 10:49:17, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 n, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
14-Sep-2016 10:53:21, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
14-Sep-2016 12:14:37, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
14-Sep-2016 12:20:55, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
14-Sep-2016 12:23:53, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
14-Sep-2016 12:27:02, 	 2, 	 13, 	 11, 	 3.958459e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-10 
14-Sep-2016 14:09:32, 	 2, 	 13, 	 11, 	 9.939348e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-06 
15-Sep-2016 09:11:11, 	 1, 	 11, 	 11, 	 -1.210595e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
15-Sep-2016 09:11:48, 	 1, 	 11, 	 11, 	 -2.017937e-12, 	 n, 	 None, 	 1.000000e-12 
06-Oct-2016 11:27:55, 	 1, 	 11, 	 11, 	 2.100102e-07, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:29:18, 	 1, 	 11, 	 11, 	 2.100102e-07, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:30:56, 	 1, 	 11, 	 11, 	 -1.210595e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:40:40, 	 1, 	 11, 	 11, 	 -1.219052e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:42:15, 	 1, 	 11, 	 11, 	 -1.210595e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:47:42, 	 2, 	 13, 	 11, 	 3.951029e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 11:52:39, 	 2, 	 13, 	 11, 	 3.995849e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 17:32:19, 	 1, 	 11, 	 11, 	 -1.211823e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
06-Oct-2016 17:55:22, 	 1, 	 11, 	 11, 	 -1.211823e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:03:04, 	 1, 	 11, 	 11, 	 -1.211823e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:08:10, 	 1, 	 11, 	 11, 	 -1.211823e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:26:12, 	 1, 	 15, 	 15, 	 2.085022e-12, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:56:57, 	 1, 	 15, 	 15, 	 2.085022e-12, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:58:12, 	 1, 	 9, 	 9, 	 2.986528e-12, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:59:00, 	 1, 	 7, 	 7, 	 4.325866e-12, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 09:59:56, 	 1, 	 7, 	 7, 	 -1.895102e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:05:32, 	 1, 	 5, 	 5, 	 1.648093e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:27:20, 	 1, 	 6, 	 6, 	 5.608458e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:28:22, 	 1, 	 6, 	 6, 	 2.647061e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:28:57, 	 1, 	 4, 	 4, 	 7.983261e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:32:04, 	 2, 	 13, 	 11, 	 3.959649e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:33:49, 	 1, 	 4, 	 4, 	 7.983261e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:43:56, 	 1, 	 4, 	 4, 	 7.123371e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:44:19, 	 1, 	 4, 	 4, 	 7.983261e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:45:10, 	 1, 	 3, 	 3, 	 7.110940e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:47:00, 	 1, 	 4, 	 4, 	 7.983261e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:49:48, 	 1, 	 4, 	 4, 	 7.983261e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:50:43, 	 1, 	 6, 	 6, 	 2.647061e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:57:02, 	 2, 	 13, 	 11, 	 3.959649e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 10:58:41, 	 1, 	 6, 	 6, 	 2.647061e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 11:01:45, 	 1, 	 5, 	 5, 	 5.959741e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 11:29:24, 	 1, 	 5, 	 5, 	 5.959741e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
07-Oct-2016 14:17:40, 	 4, 	 26, 	 26, 	 9.145859e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 09:16:26, 	 1, 	 10, 	 9, 	 -4.606708e-12, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 09:20:18, 	 2, 	 13, 	 11, 	 3.959649e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 10:59:03, 	 1, 	 7, 	 9, 	 -3.354326e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 10:59:59, 	 1, 	 7, 	 9, 	 -3.354326e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 11:00:39, 	 1, 	 7, 	 9, 	 -3.354326e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 11:01:32, 	 1, 	 7, 	 9, 	 -3.354326e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
10-Oct-2016 12:19:25, 	 2, 	 3, 	 3, 	 2.238101e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-10 
10-Oct-2016 13:46:31, 	 2, 	 3, 	 3, 	 2.238101e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-10 
10-Oct-2016 13:56:11, 	 1, 	 7, 	 7, 	 1.913303e-11, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-10 
28-Oct-2016 12:42:39, 	 1, 	 7, 	 7, 	 8.895685e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
28-Oct-2016 13:46:36, 	 2, 	 13, 	 11, 	 6.621352e-01, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
28-Oct-2016 14:14:57, 	 3, 	 16, 	 17, 	 -2.245759e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
01-Nov-2016 10:26:37, 	 1, 	 7, 	 7, 	 1.914501e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
09-Nov-2016 14:21:38, 	 1, 	 7, 	 7, 	 1.916640e-13, 	 y, 	 Geometric Mean Matlab Method, 	 1.000000e-12 
